Project Name,About images,Project Overview/Brief,Start Date/Year,End Date/Year,Types of Services We Provide,Problems,Solution We Provide,Images/Videos Drive Link,Best Moment 2-3 Lines
Chandekar 2BHK Project,better pic of hall dinning ,2 bhk,10 Nov 23,25 feeb 24,"carpentry,electrical,pop,painting,tapestry,wallpapers",low budget,boughtouts  after 2/3 months,https://drive.google.com/file/d/1nm6QUVy7l-dBLYIVm2P-G7dAC7ju0mzM/view?usp=drive_link,
Kharadi1 Site styling one,didnt like the image,"duplex,A travellers home/ Interior styling",19 Sep24,20 Dec 24,"civil,carpentry,electrical,pop,painting,tapestry,wallpapers","too many accessories & huge paintings,photoframes","designing done around the shown /explained accessories,detail disscussions of personal likings & activities ,which helped us to design wich matches their personallity",https://drive.google.com/file/d/1Okao6_QwaZVvTmzJWLP_MvJMsNGZFdQQ/view?usp=drive_link,
Kharadi2 Site,better picture needed,"2 bhk,instafriendly design,few meetings,freehand",,,all,peacock painting /poster anywhere ,"due to modern interior design ,we added peacock painting in terrace ,with breakfast table",https://drive.google.com/file/d/1UaN3PMwkpawy7LTcKqgM5SSKh1Ujw_eE/view?usp=drive_link,
Kondhwa Site jadhav,better picture needed,"bunglow,",,,,,,https://drive.google.com/file/d/1ku8rnMqtljNyXfAxCTbbE9iILLBoUNDC/view?usp=drive_link,
Kudje 5 BHK bunglow,,,,,,,,https://drive.google.com/file/d/11ISHWO4NRGUkxwZeeHJVZ9Mt3bLiexHt/view?usp=drive_link,
Raut3 BHK,,,,,,,,https://drive.google.com/file/d/1skh1R9YMCY-ZgfGbQ8m-sHhNXMF6wZMG/view?usp=drive_link,
Santorini Blue Site,,,,,,,,https://drive.google.com/file/d/1MenryrGToewKrpp-rtGAfETEkx55tTWd/view?usp=drive_link,
Shirwal Site vadewale,,,,,,,,https://drive.google.com/file/d/1-Q1sZ-0Ib7wopgz1jgAY_K1HMON8n3Jl/view?usp=drive_link,
Premium Apartment ranjit,,,,,,,,https://drive.google.com/file/d/1DB7hLF7LZiVoyTUaTMwQHnywVfsGrYTW/view?usp=drive_link,
LEIFII ,,,,,,,,https://drive.google.com/file/d/1Jd6hZkH1qDMQ9jYv_8H56LBR7PURLKjO/view?usp=drive_link,
Diveagar resort Project,,,,,,,,https://drive.google.com/file/d/1zaulc0GH9VnCYKBJnFcjT9mF5LAQI5fy/view?usp=drive_link,
Ahmednagar Institute,,,,,,,,https://drive.google.com/file/d/1IMemoUB_MoLGVamou3Ops05VYIbK0DQ_/view?usp=drive_link,
Boyden Project,,,,,,,,https://drive.google.com/file/d/11c46l4EUFBBFPhoKrPOddDa2uAUgQb6E/view?usp=drive_link,
Chocolate Factory,,,,,,,,https://drive.google.com/file/d/1X27U18D-lWblt68PkueqdarcLfTosyGn/view?usp=drive_link,
Mahabaleshwar Treetops (2),,,,,,,,https://drive.google.com/open?id=10lWUb6LytaKCPIx4Ea6yxApflRAIwkdw&usp=drive_copy,
Fadke Hall,,,,,,,,https://drive.google.com/file/d/1CFi68g0Go75_qFleybSR5XDlOi5bslyl/view?usp=drive_link,
Joshi ,,,,,,,,https://drive.google.com/file/d/1jod4ouv6SjnDH12krzwtEX7YcekPsvoL/view?usp=drive_link,
Chande Restaurant,,,,,,,,https://drive.google.com/file/d/1kADJbnP2xK9EKsYmtgkrP0VP9j7LLV0l/view?usp=drive_link,
Pearl banquete,,,,,,,,https://drive.google.com/file/d/1eYzdaVINup1r15A6DxkD7HTiDq4Rh0Ty/view?usp=drive_link,
Bavdhan pebbles sonune site,,,,,,,,https://drive.google.com/file/d/13CApdRk5MuJ0t61idbAEqvG-bDOOx737/view?usp=drive_link,
Sagwan resort,,,,,,,,,
airbnb indilife japand,,,,,,,,,
airbnb indilife old 1( 1 feb 2025),,,,,,,,,
Chemist site,,,,,,,,,
Ganga legend Shinde,,,,,,,,,
Treetop manali,,,,,,,,,
patil site pashan near to office,,3 bedrooms only,,,,,,,
Jadhav site,,,,,,,,,
Aambegav Inamdar,,,,,,,,,
Warje,,2 bedrooms,,,,,,,
DSK,,,,,,,,,
GRAND GLORIA,,"3 BHK,YET TO PHOTOSHOOT,WILL SHARE SOME CLIPS",,,,,,,
SCANDEVIEN,,ONLY 3D ,,,,,,,
SUNCITY,,"WORK IN PROGRESS,3D IS THERE",,,,,,,
PIMPLE NILKH,,"WORK IN PROGRESS,3D IS THERE",,,,,,,
